Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Positive_Review,Review_Total_Positive_Word_Counts,Reviewer_Score,Tags,lat,lng
3 Main Street Amsterdam Netherlands,2025-11-27,7.8,Hotel Arena,Switzerland,No Negative,0,The bed was extremely comfortable and the shower pressure great.,10,9.5,"[ 'Leisure trip', 'Family with young children', 'Stayed 5 nights', 'Superior Double Room', 'Submitted from a mobile device' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-11-23,7.8,Hotel Arena,Israel,No Negative,0,Wonderful boutique feel and spotlessly clean throughout our stay. Check in was fast and the receptionist upgraded us for free.,20,10.0,"[ 'Leisure trip', 'Family with older children', 'Stayed 1 night', 'Superior Double Room', 'Submitted on desktop' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-08-13,7.8,Hotel Arena,Netherlands,Construction next door started drilling at seven in the morning.,10,The bed was extremely comfortable and the shower pressure great.,10,6.1,"[ 'Leisure trip', 'Couple', 'Stayed 3 nights', 'Superior Double Room', 'Submitted on desktop' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-02-25,7.8,Hotel Arena,Poland,No Negative,0,"It is a standard chain hotel, nothing more nothing less.",10,9.4,"[ 'Leisure trip', 'Solo traveler', 'Stayed 4 nights', 'Deluxe Room', 'Submitted on desktop' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-09-28,7.8,Hotel Arena,Ireland,Construction next door started drilling at seven in the morning. Hidden city tax and parking fees appeared at checkout. The mattress was sagging and clearly needed replacement. Disappointing for a hotel with this rating.,34,No Positive,0,3.4,"[ 'Leisure trip', 'Family with older children', 'Stayed 5 nights', 'Superior Double Room', 'Submitted on desktop' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-05-27,7.8,Hotel Arena,Turkey,Reception was rude when we asked for a late checkout.,10,No Positive,0,5.2,"[ 'Leisure trip', 'Couple', 'Stayed 4 nights', 'Double or Twin Room', 'Submitted from a mobile device' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-05-08,7.8,Hotel Arena,Belgium,Construction next door started drilling at seven in the morning.,10,"The metro station is literally around the corner, so convenient. The staff went above and beyond when our train was delayed.",21,8.5,"[ 'Leisure trip', 'Family with young children', 'Stayed 3 nights', 'Suite', 'Submitted on desktop' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-09-25,7.8,Hotel Arena,Brazil,"Walls are paper thin, we heard every word from the neighbours. The pool photos are misleading, it is tiny and cold. Reception was rude when we asked for a late checkout.",31,No Positive,0,4.4,"[ 'Leisure trip', 'Group', 'Stayed 2 nights', 'Double or Twin Room', 'Submitted on desktop' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-04-01,7.8,Hotel Arena,Netherlands,No Negative,0,The staff went above and beyond when our train was delayed. Wonderful boutique feel and spotlessly clean throughout our stay.,20,8.7,"[ 'Business trip', 'Family with older children', 'Stayed 7 nights', 'Deluxe Room', 'Submitted from a mobile device' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-10-19,7.8,Hotel Arena,Ireland,Reception was rude when we asked for a late checkout.,10,Breakfast had a huge spread with fresh pastries and good coffee. Easily the best hotel of our two week trip.,20,8.8,"[ 'Leisure trip', 'Solo traveler', 'Stayed 1 night', 'Deluxe Room', 'Submitted on desktop' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-04-18,7.8,Hotel Arena,Australia,No Negative,0,"Fast wifi, good desk, worked perfectly for my remote work mornings. Would definitely stay here again on our next trip.",20,9.1,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Suite', 'Submitted on desktop' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-04-06,7.8,Hotel Arena,Brazil,No Negative,0,"Perfect base for sightseeing, every landmark within walking distance.",9,8.6,"[ 'Leisure trip', 'Couple', 'Stayed 3 nights', 'Deluxe Room', 'Submitted from a mobile device' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-08-05,7.8,Hotel Arena,Australia,The mattress was sagging and clearly needed replacement.,8,No Positive,0,8.5,"[ 'Business trip', 'Couple', 'Stayed 5 nights', 'Double or Twin Room', 'Submitted on desktop' ]",52.37039,4.8946
3 Main Street Amsterdam Netherlands,2025-11-28,7.8,Hotel Arena,Israel,The safe in our room was broken and never repaired.,10,No Positive,0,8.7,"[ 'Leisure trip', 'Couple', 'Stayed 3 nights', 'Superior Double Room', 'Submitted on desktop' ]",52.37039,4.8946
6 Main Street Venice Italy,2025-07-05,7.3,Hotel Danieli,Netherlands,The air conditioning was broken for our entire stay. The room was much smaller than the photos suggested.,18,Housekeeping kept everything immaculate every single day.,7,6.4,"[ 'Leisure trip', 'Solo traveler', 'Stayed 5 nights', 'Superior Double Room', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-02-08,7.3,Hotel Danieli,Netherlands,No Negative,0,Fine for a one night stopover.,6,9.1,"[ 'Leisure trip', 'Family with older children', 'Stayed 7 nights', 'Double or Twin Room', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-02-24,7.3,Hotel Danieli,Belgium,No Negative,0,The rooftop bar has an amazing view over the city skyline.,11,8.6,"[ 'Leisure trip', 'Solo traveler', 'Stayed 3 nights', 'Double or Twin Room', 'Submitted from a mobile device' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-01-01,7.3,Hotel Danieli,Turkey,The bathroom smelled of mould and the drain was clogged. The heating could not be turned off and the room was 28 degrees.,23,No Positive,0,8.0,"[ 'Leisure trip', 'Solo traveler', 'Stayed 1 night', 'Superior Double Room', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-03-14,7.3,Hotel Danieli,Belgium,No Negative,0,Wonderful boutique feel and spotlessly clean throughout our stay.,9,8.6,"[ 'Business trip', 'Solo traveler', 'Stayed 3 nights', 'Suite', 'Submitted on desktop' ]",45.4363,12.30996
6 Main Street Venice Italy,2025-12-05,7.3,Hotel Danieli,Ireland,The bathroom smelled of mould and the drain was clogged.,10,No Positive,0,3.7,"[ 'Leisure trip', 'Couple', 'Stayed 7 nights', 'Superior Double Room', 'Submitted from a mobile device' ]",45.4363,12.30996
